"","from","to","weight"
"1","Anabhart","Crenfren",-0.28
"2","Anabhart","Hyporobi",0.07
"3","Anabhart","Ancimara",0.2
"4","Anabhart","Hoplmala",-0.28
"5","Anabhart","Rhamquel",-0.4
"6","Andipulc","Crenfren",0.2
"7","Andipulc","Poecreti",0.29
"8","Andipulc","Hoplmala",0.09
"9","Crenfren","Hemitaen",0.04
"10","Crenfren","Poecreti",0.002
"11","Crenfren","Astybima",0.02
"12","Crenfren","Coryriis",0.02
"13","Crenfren","Ancimara",-0.08
"14","Crenfren","Hoplmala",0.04
"15","Crenfren","Rhamquel",0.04
"16","Hemitaen","Astybima",0.12
"17","Hyporobi","Ancimara",0.07
"18","Hyporobi","Rhamquel",0.07
"19","Poecreti","Hoplmala",0.09
"20","Hoplmala","Rhamquel",0.26
