"","simu","n","p","omega_structure","zi_type","zi_config","method","criterion","omega_rmse","AUC","rmse_fit","fallout","recall","precision","f1_score","time"
"1","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
"
"2","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
"
"3","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
"
"4","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
"
"5","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
","Error in seq.default(log10(range.penalties[2]), log10(max(range.penalties[1],  : 
  'from' doit être un nombre fini
"
"6","6","25","25","erdos_renyi","species","species_4","PLN","BIC","0.15","0.501175","0.423983486061508","0","0",NA,"0","0.773797035217285"
"7","6","25","25","erdos_renyi","species","species_4","ZIPLN","BIC","146.21","0.45625","0.592938598773371","0.004","0","0","0","1.97515630722046"
"8","6","25","25","erdos_renyi","species","species_4","spiecEasi_network",NA,NA,"0.4870875",NA,NA,NA,NA,NA,NA
"9","6","25","25","erdos_renyi","species","species_4","graphical_lasso_network",NA,NA,"0.5213",NA,NA,NA,NA,NA,NA
"10","6","25","25","erdos_renyi","species","species_4","neighborhood_selection_network",NA,NA,NA,NA,NA,NA,NA,NA,NA
