"","simu","n","p","omega_structure","zi_type","zi_config","method","criterion","omega_rmse","AUC","rmse_fit","fallout","recall","precision","f1_score","time"
"1","1","300","20","erdos_renyi","species","species_1","PLN","BIC","0.07","0.806798","0.636811861665153","0.005","0.5","0.75","0.6","2.52350258827209"
"2","1","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.06","0.760847","0.723343838257149","0.016","0.667","0.571","0.615","3.12342596054077"
"3","2","300","20","erdos_renyi","species","species_1","PLN","BIC","0.14","0.768975","0.629335667323472","0.024","0.8","0.8","0.8","2.097332239151"
"4","2","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.11","0.6002","0.759730525522051","0.141","0.95","0.442","0.603","5.52043104171753"
"5","3","300","20","erdos_renyi","species","species_1","PLN","BIC","0.09","0.857212","0.620137074017394","0.011","0.75","0.818","0.783","1.70085191726685"
"6","3","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.06","0.7807945","0.686445873679931","0.017","0.75","0.75","0.75","2.24536418914795"
"7","4","300","20","erdos_renyi","species","species_1","PLN","BIC","0.09","0.708","0.639694760975702","0.011","0.4","0.667","0.5","2.39482092857361"
"8","4","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.07","0.573","0.703374159968629","0.017","0.4","0.571","0.471","3.65999221801758"
"9","5","300","20","erdos_renyi","species","species_1","PLN","BIC","0.07","0.7519","0.616937075106497","0","0",NA,"0","2.2460834980011"
"10","5","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.05","0.7223","0.675125532291167","0.011","0.6","0.6","0.6","3.56927132606506"
"11","6","300","20","erdos_renyi","species","species_1","PLN","BIC","0.06","0.6871875","0.604265090794566","0.055","0.5","0.286","0.364","2.15430808067322"
"12","6","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.05","0.7550625","0.673316125652138","0.011","0.25","0.5","0.333","3.82318925857544"
"13","7","300","20","erdos_renyi","species","species_1","PLN","BIC","0.09","0.762124","0.609998189472866","0.028","0.667","0.615","0.64","2.54226994514465"
"14","7","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.06","0.684479","0.679179525684884","0.135","0.75","0.273","0.4","4.66195893287659"
"15","8","300","20","erdos_renyi","species","species_1","PLN","BIC","0.05","0.571384","0.621726515224186","0","0.333","1","0.5","1.81630635261536"
"16","8","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.05","0.5900885","0.694203606134321","0","0.333","1","0.5","5.08635449409485"
"17","9","300","20","erdos_renyi","species","species_1","PLN","BIC","0.08","0.8678735","0.581667911848861","0","0.143","1","0.25","1.3754448890686"
"18","9","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.04","0.8703995","0.665409856869752","0.022","0.571","0.5","0.533","1.43332457542419"
"19","10","300","20","erdos_renyi","species","species_1","PLN","BIC","0.07","0.804315","0.561046032620985","0.027","0.857","0.545","0.667","2.19834160804749"
"20","10","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.07","0.7500125","0.666249190506058","0.005","0.714","0.833","0.769","3.72327589988708"
"21","11","300","20","erdos_renyi","species","species_1","PLN","BIC","0.1","0.7237025","0.59257738391122","0.006","0.273","0.75","0.4","2.32744669914246"
"22","11","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.06","0.666808","0.673727002228923","0.011","0.455","0.714","0.556","2.69227266311646"
"23","12","300","20","erdos_renyi","species","species_1","PLN","BIC","0.1","0.7557835","0.632848687504915","0.011","0.636","0.778","0.7","2.486487865448"
"24","12","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.06","0.6979715","0.687143150670209","0.078","0.909","0.417","0.571","2.79489135742188"
"25","13","300","20","erdos_renyi","species","species_1","PLN","BIC","0.06","0.895346","0.676393696809588","0","0",NA,"0","2.20085406303406"
"26","13","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.08","0.893117","0.738268010866188","0","0",NA,"0","2.7539701461792"
"27","14","300","20","erdos_renyi","species","species_1","PLN","BIC","0.12","0.744159","0.604180133967174","0.103","0.625","0.357","0.455","2.58137321472168"
"28","14","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.07","0.7094795","0.691784486092644","0.092","0.875","0.467","0.609","2.77278518676758"
"29","15","300","20","erdos_renyi","species","species_1","PLN","BIC","0.09","0.825395","0.597396509840544","0.05","0.727","0.471","0.571","1.34417986869812"
"30","15","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.06","0.6969385","0.657420239454273","0.078","0.727","0.364","0.485","2.39748692512512"
"31","16","300","20","erdos_renyi","species","species_1","PLN","BIC","0.08","0.8686845","0.581288633709134","0.006","0.556","0.833","0.667","1.98790502548218"
"32","16","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.04","0.719429","0.674187341281455","0.039","0.667","0.462","0.545","4.62813186645508"
"33","17","300","20","erdos_renyi","species","species_1","PLN","BIC","0.07","0.820675","0.59078335319411","0.033","1","0.6","0.75","2.56464505195618"
"34","17","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.09","0.758276","0.655754410446755","0.05","0.778","0.438","0.56","5.42105150222778"
"35","18","300","20","erdos_renyi","species","species_1","PLN","BIC","0.08","0.83055","0.592614736267175","0.072","0.9","0.409","0.563","1.52716064453125"
"36","18","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.07","0.76505","0.673983349805746","0.022","0.5","0.556","0.526","1.55567145347595"
"37","19","300","20","erdos_renyi","species","species_1","PLN","BIC","0.09","0.8538585","0.679000412810751","0.039","0.636","0.5","0.56","1.42258954048157"
"38","19","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.07","0.8052125","0.738986137147784","0.022","0.818","0.692","0.75","3.08980512619019"
"39","20","300","20","erdos_renyi","species","species_1","PLN","BIC","0.09","0.78315","0.629942219776758","0.067","0.8","0.4","0.533","1.30010271072388"
"40","20","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.06","0.72685","0.685714289090121","0.017","0.7","0.7","0.7","2.72884726524353"
"41","1","300","20","erdos_renyi","species","species_2","PLN","BIC","0.14","0.6289375","0.441313414402036","0","0",NA,"0","4.20012354850769"
"42","1","300","20","erdos_renyi","species","species_2","ZIPLN","BIC","0.13","0.578875","0.672419219813078","0","0",NA,"0","3.87883901596069"
"43","2","300","20","erdos_renyi","species","species_2","PLN","BIC","0.14","0.5750605","0.446997697888039","0","0",NA,"0","3.52211403846741"
"44","2","300","20","erdos_renyi","species","species_2","ZIPLN","BIC","0.1","0.7767965","0.686920295026035","0","0",NA,"0","2.92552280426025"
"45","3","300","20","erdos_renyi","species","species_2","PLN","BIC","0.14","0.450212","0.424591294140795","0","0",NA,"0","5.07024621963501"
"46","3","300","20","erdos_renyi","species","species_2","ZIPLN","BIC","0.1","0.4548875","0.63753957241386","0","0.071","1","0.133","3.33685421943665"
"47","4","300","20","erdos_renyi","species","species_2","PLN","BIC","0.19","0.548077","0.408996341940999","0","0",NA,"0","4.08163499832153"
"48","4","300","20","erdos_renyi","species","species_2","ZIPLN","BIC","0.14","0.6027985","0.646618620287944","0","0",NA,"0","2.18115949630737"
"49","5","300","20","erdos_renyi","species","species_2","PLN","BIC","0.12","0.5670175","0.403420325371979","0","0",NA,"0","4.57673573493958"
"50","5","300","20","erdos_renyi","species","species_2","ZIPLN","BIC","0.11","0.7315275","0.642164555295624","0","0",NA,"0","2.76716017723083"
"51","6","300","20","erdos_renyi","species","species_2","PLN","BIC","0.12","0.757","0.39203681630826","0","0",NA,"0","5.3852972984314"
"52","6","300","20","erdos_renyi","species","species_2","ZIPLN","BIC","0.09","0.5859375","0.573271407100498","0","0",NA,"0","2.7570629119873"
"53","7","300","20","erdos_renyi","species","species_2","PLN","BIC","0.15","0.6376775","0.39811020410378","0","0",NA,"0","4.76512837409973"
