"","simu","n","p","omega_structure","zi_type","zi_config","method","criterion","omega_rmse","AUC","rmse_fit","fallout","recall","precision","f1_score","time"
"1","1","300","20","erdos_renyi","species","species_1","PLN","StARS","0.27","0.0786765","0.6510168171582","0.136","0.206","0.636","0.311","18.4515888690948"
"2","1","300","20","erdos_renyi","species","species_1","PLN","BIC","0.26","0.0786765","0.631110251067426","0.295","0.441","0.634","0.52","18.4515888690948"
"3","1","300","20","erdos_renyi","species","species_1","ZIPLN","StARS","0.25","0.057402","0.645348422233262","0.17","0.265","0.643","0.375","2.01583046118418"
"4","1","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.24","0.057402","0.638557213934502","0.273","0.441","0.652","0.526","2.01583046118418"
"5","2","300","20","erdos_renyi","species","species_1","PLN","StARS","0.27","0.065325","0.656211140832153","0.222","0.229","0.581","0.329","18.0059032440186"
"6","2","300","20","erdos_renyi","species","species_1","PLN","BIC","0.26","0.065325","0.64132602279476","0.272","0.367","0.645","0.468","18.0059032440186"
"7","2","300","20","erdos_renyi","species","species_1","ZIPLN","StARS","0.26","0.0588775","0.651788793486115","0.173","0.202","0.611","0.303","1.3990080277125"
"8","2","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.25","0.0588775","0.654886670900205","0.309","0.404","0.638","0.494","1.3990080277125"
"9","3","300","20","erdos_renyi","species","species_1","PLN","StARS","0.25","0.077841","0.68400731118237","0.231","0.267","0.489","0.346","22.1756563186646"
"10","3","300","20","erdos_renyi","species","species_1","PLN","BIC","0.24","0.077841","0.692666228855281","0.308","0.372","0.5","0.427","22.1756563186646"
"11","3","300","20","erdos_renyi","species","species_1","ZIPLN","StARS","0.24","0.0584815","0.700414757146695","0.24","0.267","0.479","0.343","1.1855902949969"
"12","3","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.23","0.0584815","0.710456144230202","0.279","0.36","0.517","0.425","1.1855902949969"
"13","4","300","20","erdos_renyi","species","species_1","PLN","StARS","0.27","0.08608","0.725997631191144","0.19","0.179","0.543","0.27","34.020308971405"
