"","simu","n","p","omega_structure","zi_type","zi_config","method","criterion","omega_rmse","AUC","rmse_fit","fallout","recall","precision","f1_score","time"
"1","1","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.09","0.629125","0.407867785893461","0","0",NA,"0","2.47665119171143"
"2","1","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.18","0.579","0.610116675536938","0","0",NA,"0","6.90985035896301"
"3","1","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.09","0.49525","0.415761919502997","0","0",NA,"0","3.80289220809937"
"4","2","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.1","0.5150625","0.417051080233562","0","0",NA,"0","2.69639658927917"
"5","2","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.23","0.6329375","0.628130461139788","0","0",NA,"0","6.14730095863342"
"6","2","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.1","0.6359375","0.424896917516589","0","0",NA,"0","3.65126299858093"
"7","3","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.05","0.5845","0.367511695592275","0","0",NA,"0","2.4155490398407"
"8","3","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.11","0.3465","0.521218248052164","0","0",NA,"0","1.5320873260498"
"9","3","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.04","0.2675","0.373452689472874","0","0",NA,"0","4.30723023414612"
"10","1","300","20","erdos_renyi","covar","covar_2","PLN","BIC","0.07","0.3431","0.442126005834981","0.627","0.6","0.025","0.048","4.05555701255798"
"11","1","300","20","erdos_renyi","covar","covar_2","ZIPLN","BIC","0.07","0.4617","0.574672416303209","0","0.2","1","0.333","8.10254716873169"
"12","1","300","20","erdos_renyi","covar","covar_2","PLN_ZIvar","BIC","0.04","0.5375","0.518953043936715","0","0",NA,"0","4.61067271232605"
"13","2","300","20","erdos_renyi","covar","covar_2","PLN","BIC","0.11","0.3490895","0.475987698695393","0.52","0.692","0.089","0.158","4.39345455169678"
"14","2","300","20","erdos_renyi","covar","covar_2","ZIPLN","BIC","0.12","0.5797895","0.582765969562695","0","0.077","1","0.143","9.96721744537354"
"15","2","300","20","erdos_renyi","covar","covar_2","PLN_ZIvar","BIC","0.09","0.6796835","0.544578992882353","0","0.077","1","0.143","4.39000725746155"
"16","3","300","20","erdos_renyi","covar","covar_2","PLN","BIC","0.11","0.272424","0.438213783816287","0.542","0.462","0.059","0.104","4.13351798057556"
"17","3","300","20","erdos_renyi","covar","covar_2","ZIPLN","BIC","0.11","0.6228585","0.582023895364202","0","0",NA,"0","12.9577744007111"
"18","3","300","20","erdos_renyi","covar","covar_2","PLN_ZIvar","BIC","0.09","0.719784","0.512037495772441","0","0",NA,"0","4.22934317588806"
"19","1","300","20","erdos_renyi","covar","covar_3","PLN","BIC","0.1","0.3933475","0.469082039286228","0.514","0.545","0.061","0.11","5.23422646522522"
"20","1","300","20","erdos_renyi","covar","covar_3","ZIPLN","BIC","0.07","0.7198295","0.593994093510034","0.006","0.636","0.875","0.737","4.44065594673157"
"21","1","300","20","erdos_renyi","covar","covar_3","PLN_ZIvar","BIC","0.09","0.7380475","0.566317482182414","0","0.545","1","0.706","4.82927942276001"
"22","2","300","20","erdos_renyi","covar","covar_3","PLN","BIC","0.11","0.39655","0.458719316828848","0.661","0.7","0.056","0.103","4.9995265007019"
"23","2","300","20","erdos_renyi","covar","covar_3","ZIPLN","BIC","0.07","0.62705","0.608269184602784","0","0",NA,"0","12.4112946987152"
"24","2","300","20","erdos_renyi","covar","covar_3","PLN_ZIvar","BIC","0.08","0.71725","0.552637523935133","0","0",NA,"0","8.5621452331543"
"25","3","300","20","erdos_renyi","covar","covar_3","PLN","BIC","0.1","0.317227","0.470102630709618","0.525","0.636","0.069","0.125","3.69552111625671"
"26","3","300","20","erdos_renyi","covar","covar_3","ZIPLN","BIC","0.07","0.722987","0.594563113996266","0","0.545","1","0.706","5.51910758018494"
"27","3","300","20","erdos_renyi","covar","covar_3","PLN_ZIvar","BIC","0.08","0.783742","0.546947757951011","0","0.091","1","0.167","3.80789422988892"
