"","simu","n","p","omega_structure","zi_type","zi_config","method","criterion","omega_rmse","AUC","rmse_fit","fallout","recall","precision","f1_score","time"
"1","1","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.04","0.7711875","0.628083315734221","0.005","0.625","0.833","0.714","2.87833762168884"
"2","2","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.04","0.8057055","0.636063360467343","0.016","0.833","0.625","0.714","2.973881483078"
"3","3","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.06","0.6477","0.662320621561596","0.106","1","0.345","0.513","2.59078454971313"
"4","Error in if ((convergence[iter] < config$ftol_out) | (iter >= config$maxit_out)) cond <- TRUE : 
  valeur manquante là où TRUE / FALSE est requis
","Error in if ((convergence[iter] < config$ftol_out) | (iter >= config$maxit_out)) cond <- TRUE : 
  valeur manquante là où TRUE / FALSE est requis
","Error in if ((convergence[iter] < config$ftol_out) | (iter >= config$maxit_out)) cond <- TRUE : 
  valeur manquante là où TRUE / FALSE est requis
","Error in if ((convergence[iter] < config$ftol_out) | (iter >= config$maxit_out)) cond <- TRUE : 
  valeur manquante là où TRUE / FALSE est requis
","Error in if ((convergence[iter] < config$ftol_out) | (iter >= config$maxit_out)) cond <- TRUE : 
  valeur manquante là où TRUE / FALSE est requis
","Error in if ((convergence[iter] < config$ftol_out) | (iter >= config$maxit_out)) cond <- TRUE : 
  valeur manquante là où TRUE / FALSE est requis
","Error in if ((convergence[iter] < config$ftol_out) | (iter >= config$maxit_out)) cond <- TRUE : 
  valeur manquante là où TRUE / FALSE est requis
","Error in if ((convergence[iter] < config$ftol_out) | (iter >= config$maxit_out)) cond <- TRUE : 
  valeur manquante là où TRUE / FALSE est requis
","Error in if ((convergence[iter] < config$ftol_out) | (iter >= config$maxit_out)) cond <- TRUE : 
  valeur manquante là où TRUE / FALSE est requis
","Error in if ((convergence[iter] < config$ftol_out) | (iter >= config$maxit_out)) cond <- TRUE : 
  valeur manquante là où TRUE / FALSE est requis
","Error in if ((convergence[iter] < config$ftol_out) | (iter >= config$maxit_out)) cond <- TRUE : 
  valeur manquante là où TRUE / FALSE est requis
","Error in if ((convergence[iter] < config$ftol_out) | (iter >= config$maxit_out)) cond <- TRUE : 
  valeur manquante là où TRUE / FALSE est requis
","Error in if ((convergence[iter] < config$ftol_out) | (iter >= config$maxit_out)) cond <- TRUE : 
  valeur manquante là où TRUE / FALSE est requis
","Error in if ((convergence[iter] < config$ftol_out) | (iter >= config$maxit_out)) cond <- TRUE : 
  valeur manquante là où TRUE / FALSE est requis
","Error in if ((convergence[iter] < config$ftol_out) | (iter >= config$maxit_out)) cond <- TRUE : 
  valeur manquante là où TRUE / FALSE est requis
","Error in if ((convergence[iter] < config$ftol_out) | (iter >= config$maxit_out)) cond <- TRUE : 
  valeur manquante là où TRUE / FALSE est requis
"
"5","5","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.04","0.795","0.610266356058203","0.011","1","0.714","0.833","2.60880994796753"
"6","6","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.11","0.348421","160.20472146656","0.489","0.786","0.113","0.198","8.6319477558136"
"7","7","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.13","0.412097","5478969948.93633","0.546","1","0.065","0.123","18.2548174858093"
"8","8","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.08","0.5986185","1442.57783204325","0.377","1","0.092","0.169","3.45233678817749"
"9","9","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.05","0.5245","0.614299068459219","0","0.6","1","0.75","3.12006592750549"
"10","Error in if ((convergence[iter] < config$ftol_out) | (iter >= config$maxit_out)) cond <- TRUE : 
  valeur manquante là où TRUE / FALSE est requis
","Error in if ((convergence[iter] < config$ftol_out) | (iter >= config$maxit_out)) cond <- TRUE : 
  valeur manquante là où TRUE / FALSE est requis
","Error in if ((convergence[iter] < config$ftol_out) | (iter >= config$maxit_out)) cond <- TRUE : 
  valeur manquante là où TRUE / FALSE est requis
","Error in if ((convergence[iter] < config$ftol_out) | (iter >= config$maxit_out)) cond <- TRUE : 
  valeur manquante là où TRUE / FALSE est requis
","Error in if ((convergence[iter] < config$ftol_out) | (iter >= config$maxit_out)) cond <- TRUE : 
  valeur manquante là où TRUE / FALSE est requis
","Error in if ((convergence[iter] < config$ftol_out) | (iter >= config$maxit_out)) cond <- TRUE : 
  valeur manquante là où TRUE / FALSE est requis
","Error in if ((convergence[iter] < config$ftol_out) | (iter >= config$maxit_out)) cond <- TRUE : 
  valeur manquante là où TRUE / FALSE est requis
","Error in if ((convergence[iter] < config$ftol_out) | (iter >= config$maxit_out)) cond <- TRUE : 
  valeur manquante là où TRUE / FALSE est requis
","Error in if ((convergence[iter] < config$ftol_out) | (iter >= config$maxit_out)) cond <- TRUE : 
  valeur manquante là où TRUE / FALSE est requis
","Error in if ((convergence[iter] < config$ftol_out) | (iter >= config$maxit_out)) cond <- TRUE : 
  valeur manquante là où TRUE / FALSE est requis
","Error in if ((convergence[iter] < config$ftol_out) | (iter >= config$maxit_out)) cond <- TRUE : 
  valeur manquante là où TRUE / FALSE est requis
","Error in if ((convergence[iter] < config$ftol_out) | (iter >= config$maxit_out)) cond <- TRUE : 
  valeur manquante là où TRUE / FALSE est requis
","Error in if ((convergence[iter] < config$ftol_out) | (iter >= config$maxit_out)) cond <- TRUE : 
  valeur manquante là où TRUE / FALSE est requis
","Error in if ((convergence[iter] < config$ftol_out) | (iter >= config$maxit_out)) cond <- TRUE : 
  valeur manquante là où TRUE / FALSE est requis
","Error in if ((convergence[iter] < config$ftol_out) | (iter >= config$maxit_out)) cond <- TRUE : 
  valeur manquante là où TRUE / FALSE est requis
","Error in if ((convergence[iter] < config$ftol_out) | (iter >= config$maxit_out)) cond <- TRUE : 
  valeur manquante là où TRUE / FALSE est requis
"
