"","simu","n","p","omega_structure","zi_type","zi_config","method","criterion","omega_rmse","AUC","rmse_fit","fallout","recall","precision","f1_score","time"
"1","1","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.03","0.904","0.631226702133599","0","0.4","1","0.571","2.01056671142578"
"2","1","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.8636","0.721268535801907","0.005","0.4","0.667","0.5","27.3524787425995"
"3","2","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.05","0.6975","0.63865292497935","0.005","0.8","0.8","0.8","1.89217329025269"
"4","2","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.05","0.6395","0.734943415232561","0.022","0.8","0.5","0.615","31.6409559249878"
"5","3","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.03","0.7211","0.626990407944392","0","0.4","1","0.571","2.33718204498291"
"6","3","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.7295","0.707372714236829","0.011","0.6","0.6","0.6","27.8275275230408"
"7","4","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.06","0.7479255","0.636149422771857","0.017","0.889","0.727","0.8","2.13719582557678"
"8","4","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.672307","0.731275452304351","0.022","0.889","0.667","0.762","27.2684133052826"
"9","5","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.08","0.811385","0.686066955923768","0.017","0.714","0.769","0.741","2.16112613677979"
"10","5","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.7797165","0.766078405263155","0.068","0.929","0.52","0.667","29.6005430221558"
"11","6","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.06","0.811602","0.630769015323541","0.028","0.818","0.643","0.72","2.59241914749146"
"12","6","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.7700545","0.721024930801095","0.039","0.727","0.533","0.615","29.0249156951904"
"13","7","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.05","0.8628","0.639422901266321","0","0.6","1","0.75","1.65127301216125"
"14","7","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.6096","0.726108394489071","0.022","0.8","0.5","0.615","26.1508164405823"
"15","8","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.05","0.9223785","0.661317267885736","0.005","0.667","0.8","0.727","1.93296146392822"
"16","8","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.8194775","0.761129009023909","0.022","0.833","0.556","0.667","27.1562507152557"
"17","9","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.07","0.7713","0.678328012417572","0.039","0.8","0.533","0.64","2.61571526527405"
"18","9","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.65825","0.771732488902783","0.044","0.8","0.5","0.615","27.5620629787445"
"19","10","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.05","0.8630815","0.653700384063901","0.022","1","0.6","0.75","2.18746042251587"
"20","10","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.7871675","0.745635624680179","0.016","1","0.667","0.8","27.5719037055969"
"21","11","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.07","0.7015775","0.656794200079619","0.066","0.778","0.368","0.5","1.54282689094543"
"22","11","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.575698","0.742853331360092","0.044","0.778","0.467","0.583","38.9277679920197"
"23","12","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.07","0.719157","0.655527486530368","0.084","0.818","0.375","0.514","2.26520824432373"
"24","12","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.05","0.653923","0.739273511443071","0.045","0.727","0.5","0.593","27.7524428367615"
"25","13","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.08","0.769963","0.649807851417441","0.112","1","0.375","0.545","2.38166403770447"
"26","13","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.6315975","0.740418170654293","0.084","1","0.444","0.615","27.4482550621033"
"27","14","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.03","0.9175125","0.645570521869171","0","0.667","1","0.8","1.86327409744263"
"28","14","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.05","0.863336","0.749418657060014","0","0.667","1","0.8","27.7467365264893"
"29","15","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.06","0.79975","0.668796005839522","0","0.875","1","0.933","2.20815467834473"
"30","15","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.7533125","0.749246655594548","0.022","0.875","0.636","0.737","19.8035163879395"
"31","16","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.08","0.8822585","0.637623056942279","0.051","1","0.571","0.727","2.0694580078125"
"32","16","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.8075385","0.716582388166305","0.096","0.917","0.393","0.55","27.7482397556305"
"33","17","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.08","0.8775","0.659272536439537","0.017","0.9","0.75","0.818","2.00248551368713"
"34","17","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.05","0.76445","0.741062655808222","0.006","0.9","0.9","0.9","26.6671416759491"
"35","18","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.03","0.90725","0.622699170303724","0.011","1","0.5","0.667","2.16551113128662"
"36","18","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.03","0.947","0.709874309796089","0.016","1","0.4","0.571","25.4439504146576"
"37","19","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.07","0.76385","0.587656798817091","0.011","0.9","0.818","0.857","1.90044450759888"
"38","19","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.03","0.67615","0.6794214277038","0.122","0.9","0.29","0.439","27.1307761669159"
"39","20","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.06","0.6464295","0.719069413710554","0.088","0.778","0.304","0.438","1.81108045578003"
"40","20","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.05","0.6019695","0.830802907557307","0.028","0.778","0.583","0.667","27.9087374210358"
"41","21","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.06","0.682316","0.71495457757005","0.016","0.571","0.571","0.571","1.07717370986938"
"42","21","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.757603","0.807991648345997","0","0.571","1","0.727","18.7811915874481"
"43","22","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.1","0.7491575","0.682250518522213","0.052","0.471","0.471","0.471","1.92871999740601"
"44","22","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.06","0.6329565","0.780953751497127","0.046","0.824","0.636","0.718","27.6132309436798"
"45","23","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.05","0.7485","0.63365143343033","0.132","0.875","0.226","0.359","1.80431509017944"
"46","23","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.7905625","0.732978467175925","0.027","0.75","0.545","0.632","38.940943479538"
"47","24","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.05","0.803066","0.665179022951831","0","0.714","1","0.833","1.78166508674622"
"48","24","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.7703075","0.757285052637822","0.011","0.714","0.714","0.714","26.9149549007416"
"49","25","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.08","0.8968685","0.703862273203455","0.017","0.643","0.75","0.692","1.87306356430054"
"50","25","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.05","0.803526","0.807810612842952","0.034","0.786","0.647","0.71","25.7620012760162"
"51","26","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.06","0.7338125","0.658889416044692","0.005","0.5","0.8","0.615","2.23350262641907"
"52","26","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.80275","0.744230390135441","0.033","0.75","0.5","0.6","24.7859563827515"
"53","27","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.04","0.8987","0.614333628439611","0.005","0.8","0.8","0.8","1.33069157600403"
"54","27","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.05","0.0053","60.8653400394535","0.097","0.2","0.053","0.083","1.09643583695094"
"55","28","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.08","0.825752","0.658457964597292","0.039","0.636","0.5","0.56","2.33496713638306"
"56","28","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.693265","0.759715841738971","0.101","1","0.379","0.55","22.2088513374329"
"57","29","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.05","0.924","0.63931711525191","0.011","1","0.714","0.833","1.60597586631775"
"58","29","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.881","0.723367137489104","0.016","1","0.625","0.769","16.5661199092865"
"59","30","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.06","0.8872","0.677625391322019","0.061","0.9","0.45","0.6","2.124840259552"
"60","30","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.8405","0.769192127425754","0.044","0.9","0.529","0.667","24.3620643615723"
"61","1","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.12","0.643345","0.5319552805307","0","0",NA,"0","2.84157109260559"
"62","1","300","20","erdos_renyi","sites","sites_2","ZIPLN","BIC","0.07","0.674913","0.731688497489904","0.023","0.538","0.636","0.583","24.9423220157623"
"63","2","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.1","0.6404885","0.538221371592273","0","0",NA,"0","2.91268634796143"
"64","2","300","20","erdos_renyi","sites","sites_2","ZIPLN","BIC","0.06","0.7244965","0.714846894840942","0.011","0.556","0.714","0.625","27.9449138641357"
