"","simu","n","p","omega_structure","zi_type","zi_config","method","criterion","omega_rmse","AUC","rmse_fit","fallout","recall","precision","f1_score","time"
"1","1","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.1","0.32602","0.446658908247167","0.57","0.545","0.056","0.101","24.7712278366089"
"2","1","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.13","0.542901","0.604222081026738","0","0.182","1","0.308","16.0847370624542"
"3","1","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.07","0.621829","0.540424192477779","0","0.091","1","0.167","19.2304003238678"
"4","2","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.13","0.353715","0.471220821904275","0.114","0.2","0.13","0.158","30.3225183486938"
"5","2","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.11","0.725824","0.582553683588997","0.006","0.267","0.8","0.4","13.3131465911865"
"6","2","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.11","0.7422665","0.52439845525472","0.023","0.467","0.636","0.538","14.23868227005"
"7","3","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.08","0.4268235","0.478237859157576","0.232","0.333","0.067","0.111","23.0784585475922"
"8","3","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.04","0.6443295","0.559047636855207","0.006","0.333","0.75","0.462","16.1890952587128"
"9","3","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.05","0.643022","0.537630537979139","0","0.333","1","0.5","11.4873163700104"
"10","4","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.08","0.3936455","0.447130427058514","0.246","0.286","0.043","0.074","13.986622095108"
"11","4","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.1","0.6774765","0.579817968150955","0","0.143","1","0.25","8.55675625801086"
"12","4","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.06","0.711535","0.529657426329708","0","0",NA,"0","5.51468968391418"
"13","5","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.1","0.399798","0.461903322828709","0.212","0.455","0.116","0.185","42.4959456920624"
"14","5","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.07","0.817719","0.549781938836124","0.022","0.364","0.5","0.421","18.397344827652"
"15","5","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.08","0.7937505","0.524694340050341","0.011","0.364","0.667","0.471","18.4171178340912"
"16","6","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.1","0.3006015","0.433450491298397","0.099","0.333","0.143","0.2","29.0170209407806"
"17","6","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.08","0.658662","0.535246733651027","0","0",NA,"0","20.1876072883606"
"18","6","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.08","0.6606855","0.498439967191873","0","0",NA,"0","7.40975022315979"
"19","7","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.13","0.32026","0.44061866952263","0.159","0.357","0.152","0.213","14.5145604610443"
"20","7","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.09","0.443462","0.580536868188688","0.011","0.286","0.667","0.4","9.11318302154541"
"21","7","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.09","0.561576","0.52653456423819","0.011","0.286","0.667","0.4","7.33237481117249"
"22","8","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.09","0.313313","0.488248940363562","0.127","0.222","0.08","0.118","29.6480224132538"
"23","8","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.13","0.5019845","0.615751964623207","0","0",NA,"0","11.2480847835541"
"24","8","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.07","0.6811505","0.548355450550113","0","0",NA,"0","11.2213711738586"
"25","9","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.08","0.2298","0.450675498505808","0.243","0.2","0.022","0.039","21.0306446552277"
"26","9","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.06","0.6695","0.565648338531557","0","0",NA,"0","15.051157951355"
"27","9","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.05","0.7294","0.520311748767556","0","0",NA,"0","8.74833917617798"
"28","10","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.09","0.51065","0.450334555851836","0.189","0.4","0.105","0.167","13.9522950649261"
"29","10","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.07","0.72485","0.575378355740634","0","0.3","1","0.462","22.7980351448059"
