"","simu","n","p","omega_structure","zi_type","zi_config","method","criterion","omega_rmse","AUC","rmse_fit","fallout","recall","precision","f1_score","time"
"1","1","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.04","0.8404","0.604568879702659","0.016","0.8","0.571","0.667","2.12405467033386"
"2","1","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.03","0.8233","0.6117005645959","0.038","0.8","0.364","0.5","41.2454996109009"
"3","2","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.06","0.6500565","0.622877291407728","0","0.556","1","0.714","1.28318524360657"
"4","2","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.05","0.623122","0.636848789843146","0.022","0.556","0.556","0.556","39.6158008575439"
"5","3","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.04","0.8532","0.615844615552615","0","0",NA,"0","2.05141639709473"
"6","3","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.8503","0.63907259194256","0.005","0.6","0.75","0.667","42.2899494171143"
"7","4","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.07","0.8189485","0.599447151494269","0.006","0.889","0.889","0.889","1.98693060874939"
"8","4","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.06","0.830226","0.5984733121526","0.006","0.778","0.875","0.824","40.5869145393372"
"9","5","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.06","0.8101875","0.613585594782033","0","0.5","1","0.667","1.58502078056335"
"10","5","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.05","0.789","0.625502659269781","0.005","0.75","0.857","0.8","41.5689334869385"
"11","6","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.07","0.6925","0.631128301915341","0","0.4","1","0.571","1.78105115890503"
"12","6","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.07","0.68315","0.654056583801896","0","0.4","1","0.571","37.351291179657"
"13","7","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.05","0.8492025","0.614872928120283","0","0.429","1","0.6","1.78287601470947"
"14","7","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.05","0.857835","0.636143311695551","0.005","0.571","0.8","0.667","41.9156951904297"
"15","8","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.09","0.56791","0.655490715647884","0","0.2","1","0.333","2.40069460868835"
"16","8","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.06","0.6005865","0.661873206232186","0.103","0.733","0.379","0.5","40.3491871356964"
"17","9","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.03","0.7889","0.626718734367342","0","0.2","1","0.333","1.51562237739563"
"18","9","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.7464","0.651789155885202","0","0.2","1","0.333","41.904639005661"
"19","10","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.04","0.7315","0.61163125538215","0","0.4","1","0.571","1.80339288711548"
"20","10","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.744","0.625643938450557","0","0.4","1","0.571","40.9674644470215"
"21","11","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.06","0.8141675","0.583348885035652","0","0.667","1","0.8","1.77429628372192"
"22","11","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.05","0.8035825","0.590551841308395","0.005","1","0.857","0.923","41.5929772853851"
"23","12","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.06","0.816625","0.609681776623111","0.005","0.75","0.857","0.8","1.63604784011841"
"24","12","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.05","0.8129375","0.616933526607147","0.022","0.875","0.636","0.737","40.6059217453003"
"25","13","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.05","0.838849","0.587622891672423","0","0.571","1","0.727","1.91246175765991"
"26","13","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.8194945","0.593810973725423","0.033","1","0.538","0.7","40.921596288681"
"27","14","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.04","0.76429","0.621139835824168","0","0.333","1","0.5","1.81078696250916"
"28","14","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.7428625","0.63981870032844","0","0.333","1","0.5","41.6673710346222"
"29","15","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.05","0.844","0.617230260415434","0","0",NA,"0","1.91188788414001"
"30","15","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.05","0.8323125","0.644201121088251","0","0.125","1","0.222","41.7662916183472"
"31","16","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.04","0.819481","0.589011652032046","0.005","0.5","0.75","0.6","1.77958846092224"
"32","16","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.03","0.826239","0.60390361929089","0.033","0.833","0.455","0.588","42.0928633213043"
"33","17","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.09","0.741937","0.627149336202932","0","0.133","1","0.235","1.90040707588196"
"34","17","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.08","0.71422","0.63551117359818","0.023","0.533","0.667","0.593","41.9795618057251"
"35","18","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.05","0.85375","0.597507559797986","0","0",NA,"0","2.04975056648254"
"36","18","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.05","0.861336","0.614537080414516","0","0.667","1","0.8","42.025075674057"
"37","19","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.06","0.7040165","0.641481734848216","0","0.222","1","0.364","1.78845572471619"
"38","19","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.05","0.681287","0.661169766290066","0","0.333","1","0.5","41.1047756671906"
"39","20","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.04","0.77172","0.58972910356232","0.022","0.833","0.556","0.667","1.97964239120483"
"40","20","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.812817","0.608742784101155","0","0.833","1","0.909","40.1392345428467"
"41","21","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.04","0.8376","0.606169892590453","0","0.2","1","0.333","1.94054579734802"
"42","21","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.03","0.826","0.621530919298451","0.011","0.6","0.6","0.6","41.9610190391541"
"43","22","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.08","0.748442","0.655873881691763","0","0.231","1","0.375","1.8696870803833"
"44","22","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.08","0.764163","0.675651281492237","0","0.308","1","0.471","42.1866126060486"
"45","23","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.08","0.670997","0.63776662052998","0","0.615","1","0.762","1.96969771385193"
"46","23","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.07","0.725373","0.645297997949907","0","0.615","1","0.762","40.7572982311249"
"47","24","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.05","0.7699375","0.640312794509657","0","0",NA,"0","1.80813002586365"
"48","24","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.8208125","0.656125368741954","0","0.625","1","0.769","40.6544194221497"
"49","25","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.05","0.8445895","0.636402037964712","0","0",NA,"0","1.78808283805847"
"50","25","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.05","0.8543425","0.662619047545759","0","0.5","1","0.667","37.8381407260895"
"51","26","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.08","0.6954415","0.623826470829669","0.006","0.538","0.875","0.667","1.88129997253418"
