"","simu","n","p","omega_structure","zi_type","zi_config","method","criterion","omega_rmse","AUC","rmse_fit","fallout","recall","precision","f1_score","time"
"1","1","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.04","0.7538135","0.665830233983053","0.022","0.714","0.556","0.625","1.50954627990723"
"2","1","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.6034675","0.723840747436027","0.016","0.714","0.625","0.667","24.926237821579"
"3","2","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.06","0.7774675","0.64017768024136","0.034","0.727","0.571","0.64","2.75845813751221"
"4","2","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.05","0.7551865","0.683219961980298","0.05","0.727","0.471","0.571","35.1591019630432"
"5","3","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.04","0.8228885","0.640226693359572","0.005","0.833","0.833","0.833","2.54084396362305"
"6","3","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.7985725","0.695526793598185","0.016","0.833","0.625","0.714","34.0349836349487"
"7","4","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.04","0.650507","0.670517123080987","0","0.429","1","0.6","2.53647303581238"
"8","4","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.05","0.6708265","0.722619190069876","0.011","0.571","0.667","0.615","35.6327188014984"
"9","5","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.04","0.6799","0.635408797758761","0","0.4","1","0.571","2.35506272315979"
"10","5","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.62905","0.678499480364254","0.028","0.6","0.545","0.571","35.0810515880585"
"11","6","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.04","0.770249","0.61809259974355","0.011","1","0.75","0.857","2.46567344665527"
"12","6","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.727328","0.668184423333688","0.016","0.833","0.625","0.714","33.3772819042206"
"13","7","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.07","0.83105","0.635614362673152","0.028","1","0.667","0.8","1.80866193771362"
"14","7","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.05","0.75425","0.682671858905436","0.072","1","0.435","0.606","23.2326283454895"
"15","8","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.05","0.6869645","0.634503895860407","0.039","0.667","0.462","0.545","2.62981510162354"
"16","8","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.675623","0.685617359852585","0.028","0.667","0.545","0.6","35.9900722503662"
"17","9","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.03","0.8900815","0.616091248482908","0.027","1","0.545","0.706","2.51626825332642"
"18","9","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.03","0.872336","0.649565181280953","0.027","1","0.545","0.706","38.5199303627014"
