"","simu","n","p","omega_structure","zi_type","zi_config","method","criterion","omega_rmse","AUC","rmse_fit","fallout","recall","precision","f1_score","time"
"1","1","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.06","0.68351","0.629006388297695","0.182","1","0.214","0.353","4.06566715240479"
"2","2","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.06","0.7911685","0.617018250789971","0.049","1","0.4","0.571","4.21641850471497"
"3","3","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.04","0.885431","0.627631770088979","0.011","0.833","0.714","0.769","3.48600816726685"
"4","4","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.08","0.520806","0.859566233753775","0.128","0.909","0.303","0.455","1.30511617660522"
"5","5","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.11","0.450231","15.1621315064919","0.164","0.923","0.293","0.444","2.17046451568604"
"6","6","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.05","0.814375","0.629171529646753","0.005","0.75","0.75","0.75","2.00391530990601"
"7","7","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.06","0.474994","0.669327959279548","0.006","0.333","0.75","0.462","3.09317660331726"
"8","8","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.05","0.69955","0.584117735839981","0","0.714","1","0.833","4.01664614677429"
"9","9","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.05","0.75075","0.666190663838756","0.115","1","0.276","0.432","3.28090000152588"
"10","10","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.06","0.620057","0.682394154742572","0.055","1","0.474","0.643","2.17510652542114"
"11","11","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.08","0.6714495","0.681604766057624","0.102","1","0.419","0.591","3.25015187263489"
"12","12","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.04","0.7575","0.618214109031908","0.005","0.8","0.8","0.8","2.25907039642334"
"13","13","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.07","0.72697","0.645899277959482","0.028","0.583","0.583","0.583","3.3429057598114"
"14","14","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.07","0.55675","0.610351640129491","0.061","0.8","0.421","0.552","3.34620690345764"
"15","15","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.03","0.835","0.597742337074653","0","1","1","1","3.76375484466553"
