"","simu","n","p","omega_structure","zi_type","zi_config","method","criterion","omega_rmse","AUC","rmse_fit","fallout","recall","precision","f1_score","time"
"1","1","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.16","0.6219","0.423027656606178","0","0",NA,"0","5.53496384620667"
"2","1","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.18","0.3444085","0.612094483758691","0.023","0.294","0.556","0.385","18.2071003913879"
"3","1","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.16","0.616035","0.428870736971359","0","0",NA,"0","8.12094712257385"
"4","2","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.1","0.8523765","0.446375377801996","0","0",NA,"0","2.22178864479065"
"5","2","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.24","0.597219","0.647948054409691","0","0",NA,"0","13.640932559967"
"6","2","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.09","0.821576","0.451835071523535","0","0",NA,"0","4.39254426956177"
"7","3","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.11","0.672","0.42294377384966","0","0",NA,"0","4.04779529571533"
"8","3","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.18","0.74435","0.625878333342125","0","0",NA,"0","3.61133050918579"
"9","3","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.11","0.75865","0.426837482667457","0","0",NA,"0","6.63824868202209"
"10","4","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.08","0.7859135","0.412282692127809","0","0",NA,"0","4.41485810279846"
"11","4","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.2","0.623566","0.610206787795871","0","0",NA,"0","3.35840320587158"
"12","4","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.07","0.830042","0.416381145702815","0","0",NA,"0","6.52642607688904"
"13","5","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.11","0.6851635","0.429196064457828","0","0",NA,"0","4.70137906074524"
"14","5","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.21","0.4627685","0.619308451799161","0","0",NA,"0","24.8165888786316"
"15","5","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.11","0.785499","0.433335987226241","0","0",NA,"0","8.06563186645508"
"16","6","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.12","0.67505","0.429401469292322","0","0",NA,"0","4.39549446105957"
"17","6","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.21","0.6855","0.637829956611589","0","0",NA,"0","3.40687870979309"
"18","6","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.11","0.75365","0.436616369244241","0","0",NA,"0","7.7655553817749"
"19","7","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.12","0.6738255","0.39274225632443","0","0",NA,"0","3.69693994522095"
"20","7","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.19","0.763837","0.588337966629835","0","0",NA,"0","1.92581105232239"
"21","7","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.11","0.6892115","0.397123629113961","0","0",NA,"0","4.47033047676086"
"22","8","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.13","0.641372","0.438578486438019","0","0",NA,"0","3.11024832725525"
"23","8","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.32","0.4639955","0.656236737249898","0","0.083","1","0.154","4.44890761375427"
"24","8","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.13","0.7161605","0.445498086617077","0","0.083","1","0.154","5.0132884979248"
"25","9","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.11","0.789462","0.44351169973684","0","0",NA,"0","4.26324892044067"
"26","9","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.3","0.748009","0.670207735705702","0","0",NA,"0","5.58470749855042"
"27","9","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.1","0.77072","0.448282952066717","0","0",NA,"0","5.61196112632751"
"28","10","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.1","0.569171","0.430247546680144","0","0",NA,"0","4.80298519134521"
"29","10","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.21","0.6579615","0.621508623035439","0","0.083","1","0.154","24.8038656711578"
"30","10","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.1","0.625878","0.435985093055754","0","0",NA,"0","6.72355246543884"
"31","11","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.08","0.765874","0.423342751206971","0","0",NA,"0","4.49023962020874"
"32","11","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.16","0.5230935","0.592366122292737","0.005","0","0","0","14.9550249576569"
"33","11","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.08","0.8023505","0.427564261532938","0","0",NA,"0","6.91786074638367"
"34","12","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.1","0.7027","0.408736372121966","0","0",NA,"0","4.57387328147888"
"35","12","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.17","0.4744","0.60084260518198","0","0",NA,"0","2.98616647720337"
"36","12","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.1","0.8581","0.41367822475707","0","0",NA,"0","7.71951413154602"
"37","13","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.12","0.6248","0.438758657033844","0","0",NA,"0","2.87641167640686"
"38","13","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.24","0.66645","0.658106729684579","0","0",NA,"0","1.88376903533936"
"39","13","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.11","0.6757","0.44338676038702","0","0",NA,"0","4.72173643112183"
"40","14","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.08","0.7015995","0.394053625855895","0","0",NA,"0","4.16508531570435"
