"","simu","n","p","omega_structure","zi_type","zi_config","method","criterion","omega_rmse","AUC","rmse_fit","fallout","recall","precision","f1_score","time"
"1","1","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.06","0.6409785","0.656816382639629","0.045","0.75","0.529","0.621","1.60342979431152"
"2","1","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.06","0.6869195","0.683448110673693","0.006","0.583","0.875","0.7","25.1980369091034"
"3","2","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.06","0.7903395","0.651657320320021","0.034","0.909","0.625","0.741","2.58807158470154"
"4","2","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.742194","0.672892944961064","0.039","0.909","0.588","0.714","38.1864750385284"
"5","3","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.05","0.847569","0.607699977063219","0.005","0.429","0.75","0.545","2.50898718833923"
"6","3","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.03","0.78164","0.638491122149019","0.016","1","0.7","0.824","37.8615489006042"
"7","4","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.04","0.8677455","0.641976452135889","0.06","1","0.353","0.522","2.30493187904358"
"8","4","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.807404","0.680542981664961","0.027","0.833","0.5","0.625","38.6308126449585"
"9","5","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.06","0.718173","0.616116368922743","0.164","0.769","0.256","0.385","2.4162745475769"
"10","5","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.05","0.682289","0.643381590070547","0.04","0.692","0.562","0.621","37.0864615440369"
"11","6","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.05","0.8523305","0.611572047284609","0","0.5","1","0.667","1.64339375495911"
"12","6","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.8013135","0.643621261325658","0","0.5","1","0.667","26.3929855823517"
"13","7","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.05","0.8477815","0.64309851534981","0.055","1","0.412","0.583","1.72256731987"
"14","7","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.05","0.810854","0.661372245741816","0.038","1","0.5","0.667","24.6523327827454"
"15","8","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.04","0.774596","0.62006735790934","0.005","0.667","0.8","0.727","2.61410450935364"
"16","8","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.03","0.6766855","0.649768920495892","0.011","0.667","0.667","0.667","37.6925270557404"
"17","9","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.06","0.755055","0.668209163302024","0.126","0.938","0.405","0.566","2.72725796699524"
"18","9","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.06","0.7018855","0.680761379284901","0.098","0.938","0.469","0.625","36.6148126125336"
"19","10","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.06","0.7476535","0.649506682555157","0","0.556","1","0.714","2.15207147598267"
"20","10","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.678512","0.659035630997022","0.011","0.667","0.75","0.706","37.3537480831146"
"21","11","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.04","0.7556485","0.631182373309207","0.082","1","0.286","0.444","2.66580772399902"
"22","11","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.790903","0.669771634990225","0.022","0.833","0.556","0.667","39.1804480552673"
"23","12","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.02","0.930375","0.609560507503403","0","0",NA,"0","1.69090151786804"
"24","12","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.905625","0.66244811196395","0","0",NA,"0","24.1204845905304"
"25","13","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.04","0.86875","0.656948191842048","0","0.5","1","0.667","1.48718357086182"
"26","13","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.03","0.87875","0.670603814730535","0.022","1","0.6","0.75","25.5383350849152"
"27","14","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.08","0.7094215","0.642104967385169","0.075","0.75","0.48","0.585","2.8298704624176"
"28","14","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.08","0.6755155","0.653507874140017","0.04","0.688","0.611","0.647","37.0216543674469"
"29","15","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.05","0.7264425","0.632474473474401","0.006","0.364","0.8","0.5","2.88306760787964"
"30","15","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.740769","0.653192703860581","0.011","0.636","0.778","0.7","36.501277923584"
"31","16","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.07","0.650866","0.669035119749038","0.017","0.6","0.75","0.667","2.73578119277954"
"32","16","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.06","0.6695315","0.685580268801922","0.046","0.667","0.556","0.606","35.8079814910889"
"33","17","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.03","0.714912","0.630491048521669","0","0.667","1","0.8","2.62325644493103"
"34","17","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.03","0.7280815","0.655984379664146","0.005","0.667","0.8","0.727","36.9700355529785"
"35","18","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.07","0.768055","0.651179992005193","0.017","0.818","0.75","0.783","1.55714082717896"
"36","18","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.05","0.719105","0.662245013520335","0.034","0.909","0.625","0.741","23.687468290329"
"37","19","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.04","0.731989","0.632570211850639","0.005","0.833","0.833","0.833","1.41765737533569"
"38","19","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.695423","0.654007336223425","0.011","0.667","0.667","0.667","26.5878922939301"
"39","20","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.06","0.7336955","0.654544503698369","0.023","0.538","0.636","0.583","3.02538967132568"
"40","20","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.05","0.7127415","0.671164147423196","0.017","0.615","0.727","0.667","27.6602187156677"
"41","21","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.03","0.8695","0.587474783852235","0.005","0.75","0.75","0.75","2.66151261329651"
"42","21","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.882875","0.636802876706304","0.016","0.75","0.5","0.6","28.4129302501678"
"43","22","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.05","0.728667","0.63789286386046","0.05","1","0.5","0.667","2.35320997238159"
"44","22","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.05","0.706667","0.651165037377334","0.011","1","0.818","0.9","27.5688056945801"
"45","23","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.07","0.7548235","0.652651328287717","0.006","0.667","0.857","0.75","2.52793478965759"
"46","23","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.06","0.7349435","0.666927275479793","0.017","0.778","0.7","0.737","27.5932042598724"
"47","24","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.06","0.7458965","0.668433669689634","0.044","0.556","0.385","0.455","1.48206067085266"
"48","24","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.06","0.8059335","0.686065496487967","0.011","0.556","0.714","0.625","26.5438437461853"
"49","25","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.07","0.762881","0.658579024972405","0.045","0.833","0.556","0.667","1.59744620323181"
"50","25","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.06","0.710384","0.679200183703009","0.011","0.583","0.778","0.667","24.3089108467102"
"51","26","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.08","0.72735","0.631441729861244","0.033","0.8","0.571","0.667","2.25956296920776"
"52","26","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.06","0.68045","0.644158913191051","0.033","0.8","0.571","0.667","23.6740732192993"
"53","27","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.04","0.908","0.584919537891338","0.005","1","0.857","0.923","1.84098196029663"
"54","27","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.821","0.628557689369221","0.005","1","0.857","0.923","23.2591037750244"
"55","28","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.06","0.809469","0.650284793034102","0","0.889","1","0.941","1.29159927368164"
"56","28","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.05","0.771907","0.654648655309025","0.017","0.889","0.727","0.8","24.6065356731415"
"57","29","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.06","0.813875","0.651717046271973","0.005","0.75","0.857","0.8","1.81008505821228"
"58","29","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.06","0.7469375","0.665540680054797","0.022","0.75","0.6","0.667","24.402740240097"
"59","30","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.05","0.789","0.62175259557085","0.011","1","0.714","0.833","1.52065658569336"
"60","30","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.7295","0.654500520524221","0.005","1","0.833","0.909","24.0810298919678"
"61","1","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.1","0.68605","0.545333677976585","0","0",NA,"0","2.95966482162476"
"62","1","300","20","erdos_renyi","sites","sites_2","ZIPLN","BIC","0.07","0.65535","0.662161946092683","0","0.1","1","0.182","44.9842550754547"
"63","2","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.07","0.646646","0.522921660374727","0","0.286","1","0.444","2.95810294151306"
"64","2","300","20","erdos_renyi","sites","sites_2","ZIPLN","BIC","0.04","0.654019","0.608875317558521","0.033","0.571","0.4","0.471","43.4106109142303"
"65","3","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.09","0.812626","0.54559279222203","0","0",NA,"0","2.71789765357971"
"66","3","300","20","erdos_renyi","sites","sites_2","ZIPLN","BIC","0.06","0.7787345","0.616600355924801","0","0.091","1","0.167","45.8349125385284"
"67","4","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.11","0.608313","0.548433036880782","0.023","0.308","0.5","0.381","2.76238107681274"
"68","4","300","20","erdos_renyi","sites","sites_2","ZIPLN","BIC","0.08","0.555592","0.607708929268557","0.068","0.692","0.429","0.529","42.3489527702332"
"69","5","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.08","0.6370475","0.547141828075496","0","0",NA,"0","1.54492449760437"
