"","simu","n","p","omega_structure","zi_type","zi_config","method","criterion","omega_rmse","AUC","rmse_fit","fallout","recall","precision","f1_score","time"
"1","1","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.1","0.844674","0.442450817463987","0","0",NA,"0","2.48287773132324"
"2","1","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.19","0.722849","0.652892714976277","0","0",NA,"0","10.0189411640167"
"3","1","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.1","0.7163315","0.448898628958837","0","0",NA,"0","3.78761076927185"
"4","2","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.1","0.528318","0.427364577069049","0","0",NA,"0","3.623539686203"
"5","2","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.25","0.382701","0.652517064316035","0","0",NA,"0","3.36452913284302"
"6","2","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.09","0.570524","0.435515561411426","0","0",NA,"0","4.35904479026794"
"7","3","300","20","erdos_renyi","covar","covar_1","PLN","BIC","0.1","0.4889375","0.440066416444544","0","0",NA,"0","3.73664164543152"
"8","3","300","20","erdos_renyi","covar","covar_1","ZIPLN","BIC","0.21","0.5044375","0.647872495784187","0","0",NA,"0","2.79611945152283"
"9","3","300","20","erdos_renyi","covar","covar_1","PLN_ZIvar","BIC","0.09","0.485","0.445040661138974","0","0",NA,"0","4.86776328086853"
"10","1","300","20","community","covar","covar_1","PLN","BIC","0.16","0.6185955","0.399709440889114","0","0",NA,"0","2.72271704673767"
"11","1","300","20","community","covar","covar_1","ZIPLN","BIC","0.18","0.7424045","0.605370404878745","0","0",NA,"0","1.84936571121216"
"12","1","300","20","community","covar","covar_1","PLN_ZIvar","BIC","0.15","0.7667355","0.408084377367764","0","0",NA,"0","3.81143641471863"
"13","2","300","20","community","covar","covar_1","PLN","BIC","0.11","0.6278125","0.436832236935928","0","0",NA,"0","3.76871633529663"
"14","2","300","20","community","covar","covar_1","ZIPLN","BIC","0.23","0.7388125","0.659759613537321","0","0",NA,"0","1.93396711349487"
"15","2","300","20","community","covar","covar_1","PLN_ZIvar","BIC","0.11","0.7516875","0.442727329157159","0","0",NA,"0","4.99023294448853"
"16","3","300","20","community","covar","covar_1","PLN","BIC","0.13","0.572418","0.419113592620763","0","0.077","1","0.143","4.06596755981445"
"17","3","300","20","community","covar","covar_1","ZIPLN","BIC","0.17","0.5251085","0.630554061566861","0","0",NA,"0","2.38947486877441"
"18","3","300","20","community","covar","covar_1","PLN_ZIvar","BIC","0.13","0.608159","0.425762072559843","0","0.077","1","0.143","5.13091778755188"
"19","1","300","20","preferential_attachment","covar","covar_1","PLN","BIC","0.18","0.7163585","0.43570952327743","0","0",NA,"0","3.16598629951477"
"20","1","300","20","preferential_attachment","covar","covar_1","ZIPLN","BIC","0.16","0.374825","0.650097595742191","0","0",NA,"0","7.36084961891174"
"21","1","300","20","preferential_attachment","covar","covar_1","PLN_ZIvar","BIC","0.18","0.782164","0.443563560101361","0","0",NA,"0","4.42339301109314"
"22","2","300","20","preferential_attachment","covar","covar_1","PLN","BIC","0.16","0.548437","0.43890898927817","0","0",NA,"0","2.73710823059082"
"23","2","300","20","preferential_attachment","covar","covar_1","ZIPLN","BIC","0.22","0.5034","0.66630675754682","0","0",NA,"0","2.28560304641724"
"24","2","300","20","preferential_attachment","covar","covar_1","PLN_ZIvar","BIC","0.15","0.6774545","0.44741198057826","0","0",NA,"0","3.53107881546021"
"25","3","300","20","preferential_attachment","covar","covar_1","PLN","BIC","0.16","0.530048","0.445765719498569","0","0",NA,"0","2.75794506072998"
"26","3","300","20","preferential_attachment","covar","covar_1","ZIPLN","BIC","0.23","0.488741","0.678809158829971","0","0",NA,"0","13.1361074447632"
"27","3","300","20","preferential_attachment","covar","covar_1","PLN_ZIvar","BIC","0.16","0.575367","0.455134610041278","0","0",NA,"0","3.17447757720947"
"28","1","300","20","erdos_renyi","covar","covar_2","PLN","BIC","0.12","0.3574035","0.427384692855734","0.483","0.5","0.065","0.115","4.41342282295227"
